"kjopsdato";"posteringsdato";"beskrivelse";"belop"
"2024-01-12";"2024-01-15";"VEGA SNACKBAR, OSLO, NOR";"-218,00"
"2024-01-12";"2024-01-15";"GIROTONDO, OSLO, NOR";"-830,00"
"2024-01-10";"2024-01-10";"HELLOFRESH, Oslo, NOR";"-552,00"
"2024-01-08";"2024-01-09";"REMA MOGATA, Oslo, NOR";"-276,99"
"2024-01-08";"2024-01-09";"COOP MEGA CARL BERNER, OSLO, NOR";"-38,80"
"2024-01-07";"2024-01-08";"TV2 A/S, BERGEN, NOR";"-399,00"
"2024-01-05";"2024-01-08";"Ekspedisjonshallen, Oslo, NOR";"-1062,60"
"2024-01-04";"2024-01-05";"REMA TØYEN, Oslo, NOR";"-217,11"
"2024-01-04";"2024-01-04";"HELLOFRESH, Oslo, NOR";"-552,00"
"2024-01-03";"2024-01-04";"REMA MOGATA, Oslo, NOR";"-563,69"
